"","num_layers","optim","activation","lr","xi","eps","tie","batch_size","early_stopping","patience","node_1","node_2","node_3","node_4","node_5","node_6","node_7","node_8","node_9","node_10","train.lkh","test.lkh","time"
"103",2,"SGD","SELU",0.1,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.4742758999748,3.5866144657135,129.524065585931
"104",6,"SGD","SELU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.47407115866684,3.58473882675171,175.481864527861
"105",10,"SGD","SELU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.47407062379651,3.5855179309845,138.246335963408
"106",2,"SGD","SELU",0.1,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.47410877785489,3.58495483398438,123.65128177007
"107",6,"SGD","SELU",0.1,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.47426531503937,3.58555335998535,93.0052633484205
"108",10,"SGD","SELU",0.1,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.47414821039969,3.58606424331665,108.072766677539
"109",2,"Adam","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.4743908027573,3.58654160499573,70.934313027064
"110",6,"Adam","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.47445554509163,3.58423519134521,101.170597378413
"111",10,"Adam","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.47440867986978,3.58373174667358,74.7866004665693
"112",2,"Adam","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.47439683721394,3.58511381149292,52.9345202763875
"113",6,"Adam","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.4746737792016,3.58519492149353,41.3211264808973
"114",10,"Adam","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.47483885964603,3.58185877799988,61.8106890161832
"115",2,"Adam","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.47425687259937,3.58549771308899,76.4821295380592
"116",6,"Adam","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.47456895286109,3.58561172485352,47.9144134004911
"117",10,"Adam","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.47475577788781,3.58225197792053,56.0983462373416
"118",2,"SGD","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.47413907416511,3.58284044265747,115.99867186149
"119",6,"SGD","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.51552718844645,3.6111752986908,34.6853800137838
"120",10,"SGD","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.51553273993033,3.61117563247681,38.5061548391978
"121",2,"SGD","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.47423533317837,3.58527517318726,45.5970788439115
"122",6,"SGD","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.51560903179958,3.61117506027222,39.058914466699
"123",10,"SGD","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.51547601229031,3.61117563247681,40.771276696523
"124",2,"SGD","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.47453905992058,3.58357949256897,39.3202451666196
"125",6,"SGD","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.47439787109653,3.5815812587738,104.75067255497
"126",10,"SGD","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.51535676929927,3.61117448806763,46.7416279355685
"127",2,"Adam","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.4744851258643,3.58613963127136,29.3025236407916
"128",6,"Adam","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.47411564879223,3.58473706245422,66.6201505422592
"129",10,"Adam","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.47471128979822,3.58461580276489,44.5322380661964
"130",2,"Adam","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.47456183626377,3.58480005264282,87.2449960192045
