"","num_layers","optim","activation","lr","xi","eps","tie","batch_size","early_stopping","patience","node_1","node_2","node_3","node_4","train.lkh","test.lkh"
"152",3,"SGD","LeakyReLU",0.01,0,0,"Efron",5000,"TRUE",20,2,2,2,NA,5.73350486755371,6.16313457489014
"153",4,"SGD","LeakyReLU",0.01,0,0,"Efron",5000,"TRUE",20,2,2,2,2,5.81369707367637,7.20547021865845
"154",2,"SGD","LeakyReLU",0.01,0,0,"Efron",5000,"TRUE",20,10,10,NA,NA,5.75753860473633,6.18879842758179
"155",3,"SGD","LeakyReLU",0.01,0,0,"Efron",5000,"TRUE",20,10,10,10,NA,5.83899158997969,7.23170835494995
"156",4,"SGD","LeakyReLU",0.01,0,0,"Efron",5000,"TRUE",20,10,10,10,10,5.78316154479981,6.21334705352783
"157",2,"Adam","LeakyReLU",0.05,0,0,"Efron",5000,"TRUE",20,2,2,NA,NA,5.75670765529979,7.14979137420654
"158",3,"Adam","LeakyReLU",0.05,0,0,"Efron",5000,"TRUE",20,2,2,2,NA,5.69967727661133,6.13213977813721
"159",4,"Adam","LeakyReLU",0.05,0,0,"Efron",5000,"TRUE",20,2,2,2,2,5.75741523395885,7.15008909225464
"160",2,"Adam","LeakyReLU",0.05,0,0,"Efron",5000,"TRUE",20,10,10,NA,NA,5.70087556838989,6.13297004699707
"161",3,"Adam","LeakyReLU",0.05,0,0,"Efron",5000,"TRUE",20,10,10,10,NA,5.75826971747659,7.15043455123901
"162",4,"Adam","LeakyReLU",0.05,0,0,"Efron",5000,"TRUE",20,10,10,10,10,5.70140533447266,6.13390369415283
"163",2,"SGD","LeakyReLU",0.05,0,0,"Efron",5000,"TRUE",20,2,2,NA,NA,5.78221438147805,7.17469539642334
"164",3,"SGD","LeakyReLU",0.05,0,0,"Efron",5000,"TRUE",20,2,2,2,NA,5.72578125,6.15795259475708
"165",4,"SGD","LeakyReLU",0.05,0,0,"Efron",5000,"TRUE",20,2,2,2,2,5.80224668762901,7.19458614349365
"166",2,"SGD","LeakyReLU",0.05,0,0,"Efron",5000,"TRUE",20,10,10,NA,NA,5.74528045654297,6.17824640274048
"167",3,"SGD","LeakyReLU",0.05,0,0,"Efron",5000,"TRUE",20,10,10,10,NA,5.82227826551958,7.21443284988403
"168",4,"SGD","LeakyReLU",0.05,0,0,"Efron",5000,"TRUE",20,10,10,10,10,5.76542024612427,6.19664659500122
"169",2,"Adam","LeakyReLU",0.2,0,0,"Efron",5000,"TRUE",20,2,2,NA,NA,5.76759711178866,7.16008890151978
"170",3,"Adam","LeakyReLU",0.2,0,0,"Efron",5000,"TRUE",20,2,2,2,NA,5.71518640518188,6.14723796844482
"171",4,"Adam","LeakyReLU",0.2,0,0,"Efron",5000,"TRUE",20,2,2,2,2,5.77721627842296,7.16661870956421
"172",2,"Adam","LeakyReLU",0.2,0,0,"Efron",5000,"TRUE",20,10,10,NA,NA,5.72285852432251,6.15059022903442
"173",3,"Adam","LeakyReLU",0.2,0,0,"Efron",5000,"TRUE",20,10,10,10,NA,5.77931299643083,7.16866270065308
"174",4,"Adam","LeakyReLU",0.2,0,0,"Efron",5000,"TRUE",20,10,10,10,10,5.72531900405884,6.15533447265625
"175",2,"SGD","LeakyReLU",0.2,0,0,"Efron",5000,"TRUE",20,2,2,NA,NA,5.93625581914728,7.31771299362183
"176",3,"SGD","LeakyReLU",0.2,0,0,"Efron",5000,"TRUE",20,2,2,2,NA,5.88628778457642,6.31155767440796
"177",4,"SGD","LeakyReLU",0.2,0,0,"Efron",5000,"TRUE",20,2,2,2,2,6.06687608632174,7.45602478027344
"178",2,"SGD","LeakyReLU",0.2,0,0,"Efron",5000,"TRUE",20,10,10,NA,NA,6.0198094367981,6.4487699508667
"179",3,"SGD","LeakyReLU",0.2,0,0,"Efron",5000,"TRUE",20,10,10,10,NA,6.19860678152605,7.58098546981812
"180",4,"SGD","LeakyReLU",0.2,0,0,"Efron",5000,"TRUE",20,10,10,10,10,6.16260118484497,6.58792428970337
"181",2,"Adam","LeakyReLU",0.01,0.2,0,"Efron",5000,"TRUE",20,2,2,NA,NA,5.76620916019786,7.15851593017578
"182",3,"Adam","LeakyReLU",0.01,0.2,0,"Efron",5000,"TRUE",20,2,2,2,NA,5.70827913284302,6.14242792129517
"183",4,"Adam","LeakyReLU",0.01,0.2,0,"Efron",5000,"TRUE",20,2,2,2,2,5.77020859284834,7.16282342910767
"184",2,"Adam","LeakyReLU",0.01,0.2,0,"Efron",5000,"TRUE",20,10,10,NA,NA,5.71424036026001,6.14640874862671
"185",3,"Adam","LeakyReLU",0.01,0.2,0,"Efron",5000,"TRUE",20,10,10,10,NA,5.77422217022289,7.1667670249939
"186",4,"Adam","LeakyReLU",0.01,0.2,0,"Efron",5000,"TRUE",20,10,10,10,10,5.71676998138428,6.15256090164185
"187",2,"SGD","LeakyReLU",0.01,0.2,0,"Efron",5000,"TRUE",20,2,2,NA,NA,5.89427684437145,7.28538204193115
"188",3,"SGD","LeakyReLU",0.01,0.2,0,"Efron",5000,"TRUE",20,2,2,2,NA,5.84112396240234,6.2770546913147
"189",4,"SGD","LeakyReLU",0.01,0.2,0,"Efron",5000,"TRUE",20,2,2,2,2,5.99418677850203,7.38582006454468
"190",2,"SGD","LeakyReLU",0.01,0.2,0,"Efron",5000,"TRUE",20,10,10,NA,NA,5.93678503036499,6.37659597396851
"191",3,"SGD","LeakyReLU",0.01,0.2,0,"Efron",5000,"TRUE",20,10,10,10,NA,6.09424563754689,7.48525587081909
"192",4,"SGD","LeakyReLU",0.01,0.2,0,"Efron",5000,"TRUE",20,10,10,10,10,6.04951696395874,6.48071231842041
